event_id,title,slug,state,upcoming_active_occurrences,next_date,design_status,existing_structured_content,missing_structured_content,legacy_body_present,custom_layout_present,notes,cms_url
2,DEEP BLUE — The Psicobloc Camp,deep-blue-psicobloc,published,1,2026-09-12,related design mapped elsewhere,audience; FAQ,overview; learning; programme; comparison/options; venue copy; logistics; package; section heading overrides,True,False,"Related DEEP BLUE/Mallorca design maps by booking identity to Event 18, Date 774.",http://localhost:4444/admin/collections/events/2
5,Bouldering Albarracin,bouldering-albarracin,published,1,2026-10-31,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/5
33,Master Class Coaching with Klemen Bečan,climbing-technique-mental-coaching,published,6,2026-11-14,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/33
1,Sport Climbing Basics — Learn to Lead & Climb Outdoors,sport-climbing-basics,published,0,,related design mapped elsewhere,audience; FAQ,overview; learning; programme; comparison/options; venue copy; logistics; package; section heading overrides,True,False,"Related beginner/Sella design maps by booking identity to Event 4, Date 676.",http://localhost:4444/admin/collections/events/1
3,The Dolomite Dolce Vita,dolomite-dolce-vita,published,0,,related design mapped elsewhere,audience; FAQ,overview; learning; programme; comparison/options; venue copy; logistics; package; section heading overrides,True,True,"Related Dolomite Dolce Vita design maps by booking identity to Event 8, Date 704.",http://localhost:4444/admin/collections/events/3
6,Trad and Multipitch,multipitch-climbing-course,published,0,,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/6
7,Czech Sandstone,sandstone-climbing,published,0,,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/7
10,Rockbusters coaching - On Sight / Red Point,climbing-coaching-on-sight-red-point,published,0,,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/10
11,Rockbusters coaching - Footwork / Balance,climbing-coaching-footwork-balance,published,0,,no audited dedicated design mapping,,overview; audience; learning; programme; comparison/options; venue copy; logistics; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/11
12,Rockbusters coaching - Overhangs,climbing-coaching-overhangs,published,0,,no audited dedicated design mapping,,overview; audience; learning; programme; comparison/options; venue copy; logistics; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/12
24,Adam Ondra ON SIGHT & RED POINT,adam-ondra-on-sight-red-point,published,0,,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/24
25,Patxi Usobiaga TRAINING,patxi-usobiaga-training,published,0,,no audited dedicated design mapping,,overview; audience; learning; programme; comparison/options; venue copy; logistics; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/25
31,Hazel Findlay MENTAL COACHING,hazel-findlay-mental-coaching,published,0,,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/31
32,Big wall climbing in Chamonix,big-wall-climbing-in-chamonix,published,0,,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/32
37,EASTER CLIMBING CAMP in KALYMNOS,easter-climbing-camp-in-kalymnos,published,0,,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/37
38,ANDALUCIA CLIMBING,andalucia-climbing,published,0,,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/38
39,Introduction to bouldering,introduction-to-bouldering,published,0,,no audited dedicated design mapping,overview; logistics,audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/39
40,Sport Climbing MASTERCLASS,sport-climbing-masterclass,published,0,,no audited dedicated design mapping,overview; logistics,audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/40
41,Climbing coaching,climbing-coaching,published,0,,no audited dedicated design mapping,overview; logistics,audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/41
42,Trad climbing course,trad-climbing-course,published,0,,no audited dedicated design mapping,overview; logistics,audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/42
43,Multipitch performance coaching,multipitch-performance-coaching,published,0,,no audited dedicated design mapping,overview; logistics,audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/43
44,Internship,internship,published,0,,no audited dedicated design mapping,,overview; audience; learning; programme; comparison/options; venue copy; logistics; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/44
45,Balkans Climbing Road Trip,balkans-rock-climbing,published,0,,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/45
46,Sport climbing private coaching,sport-climbing-private-coaching,published,0,,no audited dedicated design mapping,overview; logistics,audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/46
47,Multipitch climbing private guiding & coaching,multipitch-climbing-private-guiding-coaching,published,0,,no audited dedicated design mapping,overview; logistics,audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/47
48,Trad climbing private coaching,trad-climbing-private-coaching,published,0,,no audited dedicated design mapping,overview; logistics,audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/48
50,Camper Van Rental,camper-van-rental,published,0,,no audited dedicated design mapping,,overview; audience; learning; programme; comparison/options; venue copy; logistics; package; FAQ; section heading overrides,True,False,Confirm catalogue role before a trip-page brief.,http://localhost:4444/admin/collections/events/50
51,BIG Gear Test&Demo / Performance Coaching,performance-coaching-gear-test,published,0,,no audited dedicated design mapping,overview; logistics,audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/51
52,EFFICIENT TECHNIQUE / INJURY PREVENTION Sport Climbing Course,efficient-technique-injury-prevention-sport-climbing-course,published,0,,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/52
53,Customized Climbing Rock Trip,customized-climbing-rock-trip,published,0,,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/53
54,Feldenkrais Method Workshop for Climbers,feldenkrais-method-workshop-for-climbers,published,0,,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/54
56,Climbers Hut: Your Base Camp for Epic Ascents!,climbers-hut-your-base-camp-for-epic-ascents,published,0,,no audited dedicated design mapping,,overview; audience; learning; programme; comparison/options; venue copy; logistics; package; FAQ; section heading overrides,True,False,Confirm catalogue role before a trip-page brief.,http://localhost:4444/admin/collections/events/56
57,Fear Management & Mental Coaching,fear-management-mental-coaching,published,0,,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/57
58,Andalucia Rock Trip,andalucia-rock-trip,published,0,,no audited dedicated design mapping,overview; logistics,audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/58
59,France Rock Trip,france-rock-trip,published,0,,no audited dedicated design mapping,overview; logistics,audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/59
60,Bourdering and Sport Climbing in INDIA,bouldering-and-sport-climbing-in-india,published,0,,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/60
61,"SPAIN ROCK TRIP - Cuenca, Costa Blanca, Chulilla, Siurana",spain-rock-trip-cuenca-costa-blanca-chulilla-siurana,published,0,,no audited dedicated design mapping,overview; logistics,audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/61
63,Bolt & Send: Sicily's Virgin Rock,bolt-send-sicily-s-virgin-rock,published,0,,no audited dedicated design mapping,logistics,overview; audience; learning; programme; comparison/options; venue copy; package; FAQ; section heading overrides,True,False,,http://localhost:4444/admin/collections/events/63
